Player	Age	MP	FG	FGA	3P	3PA	2P	2PA	eFG%	FT	FTA	TRB	AST	STL	BLK	TOV	SALARY
Kobe Bryant	37	28.2	6	16.9	2	7.1	4	9.8	0.417	3.5	4.3	3.7	2.8	0.9	0.2	2	25000000
LeBron James	31	35.6	9.7	18.6	1.1	3.7	8.6	14.9	0.551	4.7	6.5	7.4	6.8	1.4	0.6	3.3	22970500
Carmelo Anthony	31	35.1	7.9	18.2	1.5	4.3	6.4	13.8	0.474	4.6	5.6	7.7	4.2	0.9	0.5	2.4	22875000
Dwight Howard	30	32.1	5.2	8.5	0	0.1	5.2	8.4	0.62	3.3	6.7	11.8	1.4	1	1.6	2.3	22359364
Chris Bosh	31	33.5	6.8	14.5	1.5	4.2	5.2	10.3	0.52	4	5.1	7.4	2.4	0.7	0.6	1.5	22192730
Chris Paul	30	32.7	7	15.1	1.6	4.4	5.3	10.6	0.517	4	4.4	4.2	10	2.1	0.2	2.6	21468695
Kevin Durant	27	35.8	9.7	19.2	2.6	6.7	7.1	12.5	0.573	6.2	6.9	8.2	5	1	1.2	3.5	20158622
Derrick Rose	27	31.8	6.8	15.9	0.7	2.3	6.1	13.6	0.448	2.2	2.7	3.4	4.7	0.7	0.2	2.7	20093064
Dwyane Wade	34	30.5	7.3	16	0.1	0.6	7.2	15.4	0.459	4.4	5.5	4.1	4.6	1.1	0.6	2.7	20000000
LaMarcus Aldridge	30	30.6	7.2	14.1	0	0.2	7.2	13.9	0.513	3.5	4.1	8.5	1.5	0.5	1.1	1.3	19689000
Kevin Love	27	31.5	5.3	12.7	2.1	5.7	3.3	7	0.499	3.4	4.1	9.9	2.4	0.8	0.5	1.8	19689000
Marc Gasol	31	34.4	6.3	13.6	0	0.1	6.3	13.5	0.465	3.9	4.7	7	3.8	1	1.3	2.3	19688000
Blake Griffin	26	33.4	8.6	17.2	0.2	0.5	8.4	16.7	0.504	4	5.5	8.4	4.9	0.8	0.5	2.4	18907726
Paul Millsap	30	32.7	6.2	13.2	0.9	2.9	5.3	10.3	0.505	3.8	5	9	3.3	1.8	1.7	2.4	18671659
Paul George	25	34.8	7.5	17.9	2.6	7	4.9	10.9	0.49	5.6	6.5	7	4.1	1.9	0.4	3.3	17120106
Russell Westbrook	27	34.4	8.2	18.1	1.3	4.3	6.9	13.8	0.489	5.8	7.2	7.8	10.4	2	0.3	4.3	16744218
Kyrie Irving	23	31.5	7.4	16.6	1.6	4.9	5.8	11.6	0.496	3.2	3.6	3	4.7	1.1	0.3	2.3	16407501
Kawhi Leonard	24	33.1	7.7	15.1	1.8	4	5.9	11.1	0.565	4.1	4.6	6.8	2.6	1.8	1	1.5	16407500
Jimmy Butler	26	36.9	7	15.4	1	3.1	6.1	12.4	0.485	5.9	7.1	5.3	4.8	1.6	0.6	2	16407500
Enes Kanter	23	21	5	8.8	0.1	0.3	4.9	8.5	0.583	2.4	3.1	8.1	0.4	0.3	0.4	1.4	16407500
Tobias Harris	23	33.1	5.5	11.7	1.1	3.1	4.4	8.6	0.514	2.7	3.2	6.7	2.2	0.9	0.5	1.4	16000000
DeMarcus Cousins	25	34.6	9.2	20.5	1.1	3.2	8.2	17.3	0.477	7.3	10.2	11.5	3.3	1.6	1.4	3.8	15851950
John Wall	25	36.2	7.4	17.5	1.5	4.3	5.9	13.3	0.467	3.5	4.5	4.9	10.2	1.9	0.8	4.1	15851950
James Harden	26	38.1	8.7	19.7	2.9	8	5.8	11.7	0.512	8.8	10.2	6.1	7.5	1.7	0.6	4.6	15756438
Roy Hibbert	29	23.2	2.2	5.1	0	0	2.2	5	0.443	1.4	1.8	4.9	1.2	0.4	1.4	0.9	15592217
Eric Gordon	27	32.9	5.1	12.3	2.5	6.5	2.6	5.7	0.521	2.5	2.8	2.2	2.7	1	0.3	1.6	15514031
Klay Thompson	25	33.3	8.1	17.3	3.5	8.1	4.7	9.2	0.569	2.4	2.8	3.8	2.1	0.8	0.6	1.7	15501000
Gordon Hayward	25	36.2	6.5	15	1.8	5.1	4.7	9.9	0.493	4.9	6	5	3.7	1.2	0.3	2.5	15409570
Chandler Parsons	27	29.5	5.2	10.7	1.7	4.1	3.5	6.6	0.571	1.5	2.2	4.7	2.8	0.8	0.3	1.6	15361500
Goran Dragic	29	32.8	5.8	12.2	0.9	2.8	4.9	9.3	0.513	1.7	2.3	3.8	5.8	1	0.2	2.6	14783000
Khris Middleton	24	36.1	6.4	14.5	1.8	4.6	4.6	9.9	0.507	3.5	3.9	3.8	4.2	1.7	0.2	2.3	14700000
Draymond Green	25	34.7	5	10.1	1.2	3.2	3.7	6.9	0.551	2.8	4.1	9.5	7.4	1.5	1.4	3.2	14260870
Tristan Thompson	24	27.7	3	5.1	0	0	3	5.1	0.588	1.8	3	9	0.8	0.5	0.6	0.7	14260870
Danilo Gallinari	27	34.7	5.4	13.2	1.6	4.5	3.8	8.7	0.472	7.1	8.2	5.3	2.5	0.8	0.4	1.5	14000000
Reggie Jackson	25	30.7	6.8	15.7	1.5	4.2	5.3	11.5	0.482	3.7	4.3	3.2	6.2	0.7	0.1	2.8	13913044
Andrew Bogut	31	20.7	2.5	4	0	0	2.5	4	0.629	0.3	0.7	7	2.3	0.5	1.6	1.2	13800000
DeMarre Carroll	29	30.2	4	10.4	1.8	4.5	2.3	5.8	0.474	1.2	1.9	4.7	1	1.7	0.2	1.1	13600000
Eric Bledsoe	26	34.2	7.2	15.9	1.5	4.2	5.6	11.7	0.502	4.5	5.5	4	6.1	2	0.6	3.5	13500000
Brandon Knight	24	36	7.1	17.2	2.3	6.8	4.8	10.5	0.482	3	3.5	3.9	5.1	1.2	0.4	3.4	13500000
Al Jefferson	31	23.3	5.2	10.7	0	0	5.2	10.7	0.485	1.5	2.4	6.4	1.5	0.6	0.9	0.7	13500000
Tony Parker	33	27.5	4.9	9.9	0.4	0.9	4.5	9	0.512	1.8	2.4	2.4	5.3	0.8	0.2	1.8	13437500
Joakim Noah	30	21.9	1.8	4.6	0	0	1.8	4.6	0.383	0.8	1.6	8.8	3.8	0.6	1	1.8	13400000
Nicolas Batum	27	35	5.3	12.5	2	5.7	3.3	6.8	0.506	2.3	2.7	6.1	5.8	0.9	0.6	2.9	13125306
Nene Hilario	33	19.2	3.7	6.7	0	0.1	3.7	6.7	0.544	1.9	3.2	4.5	1.7	0.9	0.5	1.3	13000000
Tyson Chandler	33	24.5	2.8	4.8	0	0	2.8	4.7	0.583	1.6	2.6	8.7	1	0.5	0.7	1.4	13000000
Ricky Rubio	25	30.6	2.9	7.7	0.8	2.5	2.1	5.2	0.427	3.5	4.1	4.3	8.7	2.1	0.1	2.5	12700000
Robin Lopez	27	27.1	4.4	8.1	0	0	4.4	8.1	0.539	1.6	2	7.3	1.4	0.2	1.6	1.6	12650000
Rudy Gay	29	34	6.7	14.4	1.1	3.1	5.6	11.3	0.5	2.8	3.6	6.5	1.7	1.4	0.7	2	12403101
Serge Ibaka	26	32.1	5.3	11.1	0.8	2.4	4.6	8.8	0.513	1.2	1.6	6.8	0.8	0.5	1.9	1.4	12250000
Nikola Pekovic	30	13	1.6	4.2	0	0	1.6	4.2	0.38	1.3	1.7	1.8	0.9	0.1	0	0.8	12100000
